"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"124","2019-08-29 11:32:23","38","sr-Latn","2019-08-29 11:22:51","2019-08-29 11:32:23","185.37.25.179","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","11","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","581.19","","5.02","3.23","10.39","13.26","26.24","","","24.44","6.92","6.15","404.02","5.86","4.44","6.44","3.56","8.11","12.07","7.73","6.41","7.35","","","","","","","","","","","","","","","","","","","7.75","7.24","4.56"
"125","2019-08-29 13:50:56","38","sr-Latn","2019-08-29 13:49:01","2019-08-29 13:50:56","92.60.239.2","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","3","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","","","","124.69","","3.45","8.35","12.92","5.05","9.37","","","10.27","6.21","7.44","3.99","5.71","4.49","5.43","13.53","3.47","5.61","4.08","4.16","3.67","","","","","","","","","","","","","","","","","","","3.1","3.12","1.27"
"126","","36","sr-Latn","2019-08-29 15:58:20","2019-08-29 15:59:29","217.169.220.98","Muški","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Uglavnom negativan","35","Uopšte se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Ugalvnom se ne slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","ne","","","75.21","","2.5","6.75","6.84","4.45","4.42","","","5.25","4.14","3.11","3.48","3.09","2.46","4.02","2.22","3.16","3.06","3.68","3.49","4.34","","","","","","","","","","","","","","","","","","","4.75","",""
"127","","1","sr-Latn","2019-08-29 21:24:51","2019-08-29 21:24:56","178.221.12.25","Ženski","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.54","","3.97","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128","2019-08-29 23:21:52","38","sr-Latn","2019-08-29 23:13:16","2019-08-29 23:21:52","93.87.60.180","Muški","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","56","","","","","","","","","","","","","","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Potpuno se slažem","Potpuno se slažem","uglavnom se slažem","Problem je sto ga vecina  profesora ne koristi redovno, prezentacije, rezultati ispita dosta kasne. Neki ih uopste ne posatavljaju, a rekao bih da ima i onih profesora koji ne znaju da ga koriste.","Predavanja koja nisu u sklopu redovnih kurseva koja nisu striktno vezana za psihologiju nego i srodne smerove. Ipak smo na filozofskom fakultetu pa vecinu, ili bi bar trebalo vecinu interesuju i teme  iz srodnih disciplina, sociologije, pedagogije, statistike. Dosta cesto dodju predavaci sa strane a nemamo blagovremenu informaciju. Takođe, mogao bi da se doda i raspored ispita. Eventualno, ako bi neki profesori bili zainteresovani da dele neke informacije, predavanja, klipove preko youtubea, knjige, filmove, koji bi mogli biti interesantni za teme koje obrađujemo. To bi verovatno moglo lepo da se uklopi u neki forum kojem bi imali pristup i profesori i studenti, da se razvija neka diskusija.","","","","","524.81","","2.74","10.99","7","4.68","6.44","","","","","","","","","","","","","","","","","34.11","5.09","12.15","6.1","7.16","12.24","6.36","8.22","5.19","9.95","13.36","5.8","5.26","","88.98","267.46","5.53","","",""
"129","2019-08-30 12:27:20","38","sr-Latn","2019-08-30 12:24:27","2019-08-30 12:27:20","93.87.60.180","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","99","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","187.74","","3.61","4.52","12.48","14.86","7.66","","","","","","","","","","","","","","","","","10.96","8.51","8.68","5.57","11.93","3.74","9.83","6.24","3.54","12.17","4.92","11.78","4.36","","5.13","33.36","3.89","","",""
"130","","3","sr-Latn","2019-08-30 22:17:47","2019-08-30 22:18:10","188.2.4.36","Muški","Drugo","Nekoliko puta mesečno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.87","","8.36","8.93","9.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","2019-08-30 23:28:44","38","sr-Latn","2019-08-30 23:23:35","2019-08-30 23:28:44","87.116.181.90","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","31","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","320.42","","5.07","18.53","10.43","96.13","43.86","","","31.35","4.86","4.65","3.82","10.03","50.29","7.6","3.26","2.08","1.93","2.93","2.63","2.52","","","","","","","","","","","","","","","","","","","5.69","6.63","6.13"
"132","2019-08-31 11:35:52","38","sr-Latn","2019-08-31 11:34:16","2019-08-31 11:35:52","87.116.180.244","Muški","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Neutralan","18","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","110.14","","2.49","13.86","12.53","5.4","5.5","","","15.24","8.45","15.97","4.76","3.81","1.88","1.53","1.2","0.96","1.63","1.28","0.86","1.34","","","","","","","","","","","","","","","","","","","4.15","2.95","4.35"
"133","2019-08-31 19:00:41","38","sr-Latn","2019-08-31 18:57:18","2019-08-31 19:00:41","188.246.51.20","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","75","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","216.6","","2.79","13.8","10.85","7.41","9.5","","","","","","","","","","","","","","","","","31.55","14.15","7.3","15.9","14.23","5.11","8.67","11.45","13.37","6.12","3.95","4.36","3.13","","5.23","21.83","5.9","","",""
"134","2019-09-02 05:30:06","38","sr-Latn","2019-09-02 05:26:16","2019-09-02 05:30:06","72.174.40.130","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","100","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","Slike profesora.","","","","","246.79","","2.53","16.85","9.66","7.97","3.34","","","","","","","","","","","","","","","","","18.83","6.22","3.52","9.9","13.11","27.52","8.46","12.8","6.54","4.11","3.09","2.78","2.76","","6.93","45.16","34.71","","",""
"135","2019-09-02 14:28:16","38","sr-Latn","2019-09-02 14:26:33","2019-09-02 14:28:16","212.200.41.138","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","16","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Nedolučan/na sam","","","","","","","","","","","","","","","","","","","","114.9","","11.51","8.07","5.9","4.5","8.58","","","9.05","5.01","3.57","5.32","3.66","2.67","7.05","2.68","3.86","5.69","4.66","2.88","5.48","","","","","","","","","","","","","","","","","","","6.1","4.78","3.88"
"136","2019-09-02 16:21:57","38","sr-Latn","2019-09-02 16:15:34","2019-09-02 16:21:57","188.2.109.245","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","32","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","Ne. ","U poslednja 2 ili 3 ispitna roka raspored ispita nije izasao na sajtu a nekako imam naviku da pogledam raspored na sajtu odseka a ne na sajtu fakulteta. ","Da se obavestenja i rezultati ispita jasno razdvoje, u smislu da se rezultati kace samo na odeljak za rezultate. Takodje, ukoliko je moguce, da se pri skidanju datoteke sa sajta njen naziv zadrzi (da ne budu oni brojevi). ","390.7","","12.03","5.49","7.77","11.5","6.06","","","7.57","8.58","5.22","4.44","6.28","4.97","6.16","5.58","5.16","3.66","3.87","4.97","4.14","","","","","","","","","","","","","","","","","","","25.13","95.26","156.86"
"137","","20","sr-Latn","2019-09-02 16:16:03","2019-09-02 16:16:48","109.121.16.184","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","88","","","","","","","","","","","","","","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","47.69","","3.34","10.73","10.01","4.48","6.45","","","","","","","","","","","","","","","","","12.68","","","","","","","","","","","","","","","","","","",""
"138","2019-09-02 19:15:31","38","sr-Latn","2019-09-02 19:12:21","2019-09-02 19:15:31","188.246.37.114","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Neutralan","10","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","204.22","","2.83","5.07","8.07","12.71","13.43","","","25.15","13.61","4.86","4.78","5.21","4.93","11.6","7.15","4.71","5.94","7.63","3.71","14.98","","","","","","","","","","","","","","","","","","","6.51","8.85","32.49"
"139","2019-09-03 06:45:38","38","sr-Latn","2019-09-03 06:42:41","2019-09-03 06:45:38","87.116.181.159","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","82","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","Prilagođavanje sajta za mobilne uređaje","","","","188.9","","4.41","18.33","7.75","7.21","7.91","","","","","","","","","","","","","","","","","13.14","4.58","3.89","5.7","6.58","4.32","5.68","10.79","4.4","3.88","3.29","6.22","3.09","","12.42","24.54","30.77","","",""
"140","","0","sr-Latn","2019-09-03 06:45:44","2019-09-03 06:45:44","87.116.181.159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.52","","","","",""
"141","2019-09-03 17:04:46","38","sr-Latn","2019-09-03 17:03:10","2019-09-03 17:04:46","188.2.51.207","Ženski","Nastavnik Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","92","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Nedolučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","103.89","","3","9.01","7.03","6.08","4.39","","","","","","","","","","","","","","","","","8.61","7.37","2.42","2.66","4.83","4.98","8.49","6.11","2.71","3.1","5.3","2.58","2.45","","3.19","4.05","5.53","","",""
"142","","19","sr-Latn","2019-09-03 23:10:28","2019-09-03 23:25:44","77.243.27.255","Ženski","Student Odseka","Nekoliko puta u semestru","Između 15 i 30 minuta","Uglavnom pozitivan","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919.1","","370.11","5.1","32.02","14.65","497.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","2019-09-04 15:23:22","38","sr-Latn","2019-09-04 15:09:13","2019-09-04 15:23:22","212.200.101.237","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","93","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","Bilo bi korisno kada bi postojao odeljak arhiva u kojoj bi bilo moguće pronaći stara obaveštenja, rezultate ispita ili pak datoteke i dokumenta koje profesori kače, a koji nestaju sa dodavanjem novih dokumenata, ili pak sa početkom nove školske godine....u nekoliko navrata sam imala potrebu da povratim stara dokumenta koje zbog tehničkih kvarova izgubim iz lične arhive.","","","","","","813.6","","12.48","10.21","9.01","13.79","7.86","","","","","","","","","","","","","","","","","22.82","6.94","10.02","6.67","11.74","5.37","17.09","21.82","6.54","7.14","6.27","4.03","4.61","","242","373.11","14.08","","",""
"144","2019-09-04 15:35:27","38","sr-Latn","2019-09-04 15:24:02","2019-09-04 15:35:27","212.200.101.237","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Veoma pozitivan","8","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","1100.22","","4.35","5.1","4.21","18.08","5.07","","","14.89","5.13","3.29","4.66","4.81","4.08","7.13","5.81","5.47","8.87","5.48","4.02","15.54","","","","","","","","","","","","","","","","","404.67","","28.01","25.24","516.31"
"145","","12","sr-Latn","2019-09-05 07:26:25","2019-09-05 07:27:35","24.34.59.198","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","25","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","","","","","","","","73.77","","6.41","3.79","6.12","5.91","9.17","","","10.46","6.21","5.22","3.63","13.38","3.47","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","2019-09-05 09:45:23","38","sr-Latn","2019-09-05 09:43:39","2019-09-05 09:45:23","188.246.45.135","Muški","Nastavnik Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","56","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","Poraditi ns estetici. ","","","","112.07","","2.11","3.21","5.35","5.34","4.06","","","","","","","","","","","","","","","","","6.29","3.88","3.12","3.14","3.42","2.96","4.53","3.74","4.15","2.34","5.03","3.82","2.32","","4.05","4.29","34.92","","",""
"147","2019-09-05 13:07:12","38","sr-Latn","2019-09-05 13:06:02","2019-09-05 13:07:11","89.216.115.34","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","30","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","79.92","","2.53","6.94","6.17","5.88","5.12","","","4.28","3.87","3.29","2.59","3.21","3.06","2.78","3.17","2.79","3.88","4.83","2.2","4.33","","","","","","","","","","","","","","","","","","","3.2","2.8","3"
"148","2019-09-08 00:37:38","38","sr-Latn","2019-09-08 00:34:38","2019-09-08 00:37:38","188.2.1.102","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","94","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","","","","","","","188.68","","4.35","13.48","8.33","14.7","9.55","","","","","","","","","","","","","","","","","9.57","7.14","4.12","6.11","3.99","6.94","6.79","7.63","6.03","5.88","7.78","5.04","4.03","","17.11","35.6","4.51","","",""
"149","2019-09-08 10:27:05","38","sr-Latn","2019-09-08 10:25:13","2019-09-08 10:27:05","89.216.179.206","Ženski","Budući student Odseka","Ovo mi je prvi put","Između 5 i 15 minuta","Neutralan","25","Uglavnom se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","122.67","","9.74","17.71","7.31","4.94","9.56","","","7.38","5.02","3.95","4.95","5.61","4.33","4.67","5.23","4.71","5.02","4.05","3.14","3.84","","","","","","","","","","","","","","","","","","","5.22","3.22","3.07"
"150","2019-09-08 11:18:43","38","sr-Latn","2019-09-08 11:13:51","2019-09-08 11:18:43","212.200.101.189","Ženski","Student Odseka","Barem jednom nedeljno","Duže od 30 minuta","Uglavnom pozitivan","31","Potpuno se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Potpuno se slažem","Uglavnom se ne slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uopšte se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","izborni predmeti u kurikulumu nisu azurirani","","azuriranje informacija sa sajta kada na odseku dodje do nekih promena ","302.46","","4.88","12.56","9.48","10.09","8.4","","","9.19","6.96","6.95","6.32","8.1","6.12","9.95","8.26","8.61","7.48","4.97","5.74","9.85","","","","","","","","","","","","","","","","","","","68.38","8.6","81.57"
"151","2019-09-08 11:41:54","38","sr-Latn","2019-09-08 11:37:49","2019-09-08 11:41:54","178.220.88.2","Muški","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","47","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Potpuno se slažem","Uopšte se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","258.9","","3.86","14.4","28.43","6.45","7.65","","","23.79","13.21","13.07","9.19","15.96","10.82","26.43","12.13","12.45","9.15","17.03","5.86","10.38","","","","","","","","","","","","","","","","","","","7.42","8.12","3.1"
"152","2019-09-08 19:53:05","38","sr-Latn","2019-09-08 19:51:00","2019-09-08 19:53:05","77.243.29.138","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","70","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Nedolučan/na sam","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","136.98","","8.69","8.11","10.81","6.57","6.1","","","","","","","","","","","","","","","","","16.72","10.03","5.41","4.43","4.87","5.27","6.43","6.5","4.18","5.9","6.42","4.27","2.75","","4.61","4.09","4.82","","",""
"153","","","sr-Latn","2019-09-09 13:01:31","2019-09-09 13:01:31","31.223.132.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154","2019-09-09 22:09:39","38","sr-Latn","2019-09-09 22:07:30","2019-09-09 22:09:39","31.223.154.165","Muški","Budući student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Neutralan","33","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","140.46","","3.28","7.6","14.39","3.65","6.35","","","15.47","7.12","4.97","5.17","5.89","4.59","9.33","5.8","5.57","8.59","5.78","4.76","5.69","","","","","","","","","","","","","","","","","","","6.13","6.57","3.76"
"155","2019-09-10 13:54:14","38","sr-Latn","2019-09-10 13:52:02","2019-09-10 13:54:14","87.116.181.247","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","92","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","","","","","","145.85","","2.78","6.94","8.78","6.97","11.57","","","","","","","","","","","","","","","","","13.74","6.75","3.64","3.82","6.53","4.9","7.33","12.24","13.45","6.42","7.7","3.47","3.29","","5.26","6.43","3.84","","",""
